day,session,worked_well,could_be_improved
Day 1,Data management and wrangling,"trying out the different functions in the ""code-along"" style",Nothing I can think of
Day 1,Data management and wrangling,It was helpful to see the teacher correct/debug her own code as she went.,"It would have been helpful to have more exercises where we could try and build the code ourselves (i.e., to apply some of the new functions). At times, I felt like I was just copying/typing what the teacher was typing."
Day 1,Data management and wrangling,The examples are very helpful.,NA
Day 1,Data management and wrangling,good,more explanation about the code
Day 1,Data management and wrangling,Code along. Great with the website with all the coding,"Maybe have some data-sets ready that we can use, so we don't use too much time on finding them ourselves."
Day 1,Data management and wrangling,straight fordward,more hands on coding
Day 1,Data management and wrangling,code along and great helpers,NA
Day 1,Data management and wrangling,Hands-on exercises,More breaks and providing more explanation for the exercises
Day 1,Data management and wrangling,Good with hands on exercises,explain the purpose of the function - examples of when you would use them
Day 1,Data management and wrangling,All the instructions and coding together.,The last session would be easier to follow-up.
Day 1,Data management and wrangling,The code along worked well.,There could be more exercises we should do on our own.
Day 1,Data management and wrangling,"Simple, code-along, blue/orange post-its",Maybe more time to understand the coding
Day 1,Data management and wrangling,"the code-along, makes it easier to understand what we are doing",sometimes I felt some of the functions could have had an introduction on what they will do
Day 1,Data management and wrangling,The code along,"Nothing, the pace was good"
Day 1,Data management and wrangling,The timming in teaching,I think it worked well just some things more difficult to processes but good
Day 1,Data management and wrangling,was very good,was very good
Day 1,Data management and wrangling,"I have ever used tidyverse before, so it was interesting to learn it.",Some more exercises with different combinations of functions could be useful.
Day 1,Data management and wrangling,"Good examples, and good that it was not an ""expert"" teaching this.",Perhaps a bit more explanation of the different functions - I kind of lost track in the pivoting and grouping part. It would have been nice to start with this session in the morning with a fresh brain :-)
Day 1,Data management and wrangling,Eevrything,NA
Day 1,Data management and wrangling,see above session,see above session
Day 1,Data management and wrangling,Coding on our own computers,Nothing specific
Day 1,Management of R projects,"the post-it system, and the number of helpers",A bit more explanation/definition of each task before we begin the task
Day 1,Management of R projects,I really liked hearing about how good practice of R Projects related to reproducibility.,It felt like it was really slow to move at times.
Day 1,Management of R projects,The materials are very organized. The teachers are GREAT,"If time allowed, more statistical coding will be helpful."
Day 1,Management of R projects,good,good
Day 1,Management of R projects,Good lectures. Code along is a good way to do it.,NA
Day 1,Management of R projects,straight forward,"more hands on coding, maybe start the group excercise for the begining"
Day 1,Management of R projects,code along and great helpers,NA
Day 1,Management of R projects,Hands-on exercises,Providing basic concepts (e.g.: terminologies on R) before hands-on
Day 1,Management of R projects,Good with hands on exercises,NA
Day 1,Management of R projects,All the code along part,The last session was a bit intense and get lost because of the tiredness of the all day.
Day 1,Management of R projects,It was really good to know the structure of the project folders,Don't know
Day 1,Management of R projects,"Very simple, code-along, blue/orange post-its",?
Day 1,Management of R projects,the interactive questions,"nothing,"
Day 1,Management of R projects,valuable info,NA
Day 1,Management of R projects,Learning how to make a project and keep everything in one place.,It was nice
Day 1,Management of R projects,"Worked: The session in general, clear teaching and in the first part enough time to process information",I think the first day was good
Day 1,Management of R projects,All sessions were well organised and easy to follow,"Exercise 6.5 was given a short time  and instruction were not straightforward. Please, make sure that participants know how to interact with R (e.g., write and execute codes, familiar with the interface, etc).the lecture on open source data should be more interactive.Please, adjust the light. I struggled to view the slides and follow the instructions on the screen."
Day 1,Management of R projects,It was very clearly explained.,Nothing that I can think of right now.
Day 1,Management of R projects,The stickers! And very hands on teaching.,Maybe the management of projects could be moved to later in the course. It was difficult to follow with no previous experience with R projects.
Day 1,Management of R projects,Everything :),More explanation maybe
Day 1,Management of R projects,"I really liked the course structure. It is a great mix of lectures and hands-on exercises. And you came up with a great system for people to signal that they need help or are done with their tasks. I am a beginner, i.e. have done very little programming before, and I think that there is plenty of time to do the tasks, which is really nice. It is a great intro to R. Thank you so much.","I cannot come up with anything right now. Again, I really liked the course structure."
Day 1,Management of R projects,Coding on our own computers,Nothing specific
Day 2,Data visualization,"The code along went so well, the pace was good.","I think the session was so clear, nicely paced."
Day 2,Data visualization,very useful,all good
Day 2,Data visualization,I think this was the most fun part where we can actually plot everything,Everything worked fine
Day 2,Data visualization,easy to follow,maybe a vew too many examples that used the same/very similar code
Day 2,Data visualization,Code-along works really well.,NA
Day 2,Data visualization,it was very helpfull to show different ways to plot,Again more homework to do after the course with answers would be good
Day 2,Data visualization,Coding along / Tasks on our own,More tasks on our own
Day 2,Data visualization,"it was some very useful functions, and I can definitely see myself using these!",NA
Day 2,Data visualization,It was interesting to see some of the different plots I wouldn't usually be exposed to.,"I don't think we needed to spend hours and hours on plots with colour schemes; I would have preferred to use this time to understand some of the ways to use R in practice (e.g., I'm still unclear on what here::here even means)."
Day 2,Data visualization,hands on is fine - some could go into a short presentation,"to many example that looked likes each other. Would prefer to learn more options instead, for instance category1=color1, category2=color2 instead of several data schemes"
