day,session,worked_well,could_be_improved
Day 1,Management of R projects,all,more of practice
Day 1,Management of R projects,nice mix between exercises and lecture,sometimes it takes long time in the code along because someone has an error
Day 1,Management of R projects,step by step guide,Explain the overall aim not only how to do it.
Day 1,Management of R projects,The  notes for what was being done,perhaps begin with where to work with R code rather then  github
Day 1,Management of R projects,"Nice interaction between slide set, text guide and tasks.",Nothing to add.
Day 1,Management of R projects,Slow and steady teaching. Great help.,More time for hands on. More practice.
Day 1,Management of R projects,Code-along worked very well.,"Maybe you could add a bit more too how to do ""neat"" coding."
Day 1,Management of R projects,"The ""code along""/""watch while we go through""-approach","If you insist on introducing vectors, naming and syntax at this point, maybe you could tell a little more about what it is used for"
Day 1,Management of R projects,Connecting the Rstudio to the Github,all is fine
Day 1,Management of R projects,Made my first R project.,Could probably go quicker through this section.
Day 1,Management of R projects,It was easy to follow along and do the tasks,It is a bit overwhelming to memorize the style guide rules (even though we don't need to memorize everything)
Day 1,Management of R projects,Code-along is a really good way of learning.,good background understanding for R. Nice to get a good understanding of the importance of style.
Day 1,Management of R projects,the syllabus material,"More basic R understanding and usage before moving on, please"
Day 1,Management of R projects,Everything worked very well,"Maybe on the last day, I will be able to come up with comments"
Day 1,Management of R projects,Clear description of what to do,"I will prefer to add a section about ""how to upload your data"" e.g.  have an example with data in an excel file instead of ""air quality""."
Day 1,Management of R projects,Really helpful you started from the very basics. You made sure everyone was on the same page. Good with small breaks and asignments(plus code alongs),"Some of the areas was not completely clear, eg. what to use them for (eg the here function)"
Day 1,Management of R projects,"I liked the idea of structuring my projects, until now I have been doing things the messy way so I got nice inspiration from this session",I don't have any complains
Day 1,Management of R projects,"Creating R project/repository and save all the files in that folder, so that everything can be traced back.","If that was explained with an example of previous data (data frame), I think it would be very nice."
Day 1,Management of R projects,It was very nice to code along with the teachers. Good pace. Good exercises. Clear instructions.,"Sometimes it's hard to understand exactly what you are doing, but I think it's also difficult to explain in an easy way sometimes."
Day 1,Management of R projects,Exercises on code language were useful,maybe some more functions with their application? Although I know there is not a lot of time. Maybe just having them on the book but not go through them.
Day 1,Management of R projects,The code-along was very useful. I would not have done it without this type of supervision. But I was copy-pasting most of the time without knowing what I was doing. But the exercises helped a lot. Soufyan did a great job explaining everything.,"Sometimes it went too fast. and at some point the helpers were talking too loud, so it was difficult to hear the presenter. It was very distracting. I suggest that either the helpers whisper while the presenter continues the session, or the presenter waits for everyone to be ready before continuing."
Day 1,Management of R projects,The practical code-along and step-by-step of common mistakes and pitfalls,"It was overall a good session, and potentially a more relevant example would be nice to have"
Day 1,Management of R projects,This part for me worked well.,This part for me worked well.
Day 1,Management of R projects,Code along,"Start a bit more basic (e.g., use of #, what are packages, load packages and use functions) and mention when it can look differently on your screen)"
Day 1,Management of R projects,"I learned how to make an R project and how files can be stored together in a meaningful way, which is very useful",Have more small exercises like the one where you have to edit code and such - maybe just as extra optional activities
Day 1,Management of R projects,"code-along, the blue and orange post-its, the tempo (I could follow)",?
Day 1,Management of R projects,"Code along worked well, also the simple steps were easy to follow.",The session worked well in general and was a good foundation for a beginner.
Day 1,Management of R projects,The session was comprehensible because of the code-along and practical exercises,It could be even more applied if we used a fictive research project and build it up in R
Day 1,Management of R projects,hands on workshop is very designed,more case studies
Day 1,Version control and collaborative practices,all,more practice
Day 1,Version control and collaborative practices,nice mix between exercises and lecture,sometimes it takes long time in the code along because someone has an error
Day 1,Version control and collaborative practices,step by step guide,Explain the overall aim not only how to do it.
Day 1,Version control and collaborative practices,The  instructions were easy to follow and clear.,May be group practice will give more time to go over the steps and let it sink in
Day 1,Version control and collaborative practices,Availability to help.,Better preparation on software updates and interfaces.
Day 1,Version control and collaborative practices,Similar as above,More time for hands on practice.
Day 1,Version control and collaborative practices,Explanation of git was very good.,Would like to know how to use the history of changes can be used.
Day 1,Version control and collaborative practices,"Rather difficult stuff, but again the code-along approach really helps.",Nothing really
Day 1,Version control and collaborative practices,It was so practical,all is fine
Day 1,Version control and collaborative practices,"Really helpful for using Git/Github, creating repo's, cloning, push and pull.","Couldn't quite get through all of the exercises in class, just managed to make it to 5.10"
Day 1,Version control and collaborative practices,It was easy to understand what is means,"Git is a bit complicated to understand, but I guess it will get better tomorrow :)"
Day 1,Version control and collaborative practices,Good pace so that you do not get lost,"sorry, I have no concrete improvements"
Day 1,Version control and collaborative practices,The syllabus material,I'm having troubles understanding how this will fit in with my daily work. I feel it is a bit yo much. I don't really understand R yet
Day 1,Version control and collaborative practices,"It actually was not my main interest to join this course (maybe will be on later stage), but I clearly can see the advantages",None
Day 1,Version control and collaborative practices,Clear description,"It is not necessary to include ""what do we think is difficult in our collaboration now""."
