id,survey_item,response
68682a44c3,I think I learned a lot from this course,Strongly disagree
68682a44c3,I think there was a good mix of learning activities that encouraged my active participation,Strongly disagree
68682a44c3,I think the content on the website clearly communicated the concepts,Strongly disagree
68682a44c3,I think the instructors clearly communicated the concepts,Strongly disagree
68682a44c3,I think there was good alignment between the learning activities,Strongly disagree
68682a44c3,"In general, I think this is a good course",Strongly disagree
68682a44c3,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly disagree
f455d142d0,I think I learned a lot from this course,Agree
f455d142d0,I think there was a good mix of learning activities that encouraged my active participation,Agree
f455d142d0,I think the content on the website clearly communicated the concepts,Strongly agree
f455d142d0,I think the instructors clearly communicated the concepts,Agree
f455d142d0,I think there was good alignment between the learning activities,Agree
f455d142d0,"In general, I think this is a good course",Agree
f455d142d0,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
6d563f85f2,I think I learned a lot from this course,Strongly agree
6d563f85f2,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
6d563f85f2,I think the content on the website clearly communicated the concepts,Agree
6d563f85f2,I think the instructors clearly communicated the concepts,Strongly agree
6d563f85f2,I think there was good alignment between the learning activities,Strongly agree
6d563f85f2,"In general, I think this is a good course",Strongly agree
6d563f85f2,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
e0d41c9157,I think I learned a lot from this course,Strongly agree
e0d41c9157,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
e0d41c9157,I think the content on the website clearly communicated the concepts,Strongly agree
e0d41c9157,I think the instructors clearly communicated the concepts,Strongly agree
e0d41c9157,I think there was good alignment between the learning activities,Strongly agree
e0d41c9157,"In general, I think this is a good course",Strongly agree
e0d41c9157,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
b22f5bd6ba,I think I learned a lot from this course,Strongly agree
b22f5bd6ba,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
b22f5bd6ba,I think the content on the website clearly communicated the concepts,Strongly agree
b22f5bd6ba,I think the instructors clearly communicated the concepts,Strongly agree
b22f5bd6ba,I think there was good alignment between the learning activities,Strongly agree
b22f5bd6ba,"In general, I think this is a good course",Strongly agree
b22f5bd6ba,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
544e6a3364,I think I learned a lot from this course,Strongly agree
544e6a3364,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
544e6a3364,I think the content on the website clearly communicated the concepts,Strongly agree
544e6a3364,I think the instructors clearly communicated the concepts,Strongly agree
544e6a3364,I think there was good alignment between the learning activities,Agree
544e6a3364,"In general, I think this is a good course",Strongly agree
544e6a3364,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1521e2c1d7,I think I learned a lot from this course,Agree
1521e2c1d7,I think there was a good mix of learning activities that encouraged my active participation,Agree
1521e2c1d7,I think the content on the website clearly communicated the concepts,Agree
1521e2c1d7,I think the instructors clearly communicated the concepts,Strongly agree
1521e2c1d7,I think there was good alignment between the learning activities,Agree
1521e2c1d7,"In general, I think this is a good course",Strongly agree
1521e2c1d7,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
1415661fda,I think I learned a lot from this course,Strongly agree
1415661fda,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
1415661fda,I think the content on the website clearly communicated the concepts,Strongly agree
1415661fda,I think the instructors clearly communicated the concepts,Strongly agree
1415661fda,I think there was good alignment between the learning activities,Strongly agree
1415661fda,"In general, I think this is a good course",Strongly agree
1415661fda,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
ecdfa328ce,I think I learned a lot from this course,Strongly agree
ecdfa328ce,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
ecdfa328ce,I think the content on the website clearly communicated the concepts,Strongly agree
ecdfa328ce,I think the instructors clearly communicated the concepts,Strongly agree
ecdfa328ce,I think there was good alignment between the learning activities,Strongly agree
ecdfa328ce,"In general, I think this is a good course",Strongly agree
ecdfa328ce,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
22971c9b5e,I think I learned a lot from this course,Strongly agree
22971c9b5e,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
22971c9b5e,I think the content on the website clearly communicated the concepts,Strongly agree
22971c9b5e,I think the instructors clearly communicated the concepts,Strongly agree
22971c9b5e,I think there was good alignment between the learning activities,Strongly agree
22971c9b5e,"In general, I think this is a good course",Strongly agree
22971c9b5e,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
6fffc57d03,I think I learned a lot from this course,Strongly agree
6fffc57d03,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
6fffc57d03,I think the content on the website clearly communicated the concepts,Agree
6fffc57d03,I think the instructors clearly communicated the concepts,Agree
6fffc57d03,I think there was good alignment between the learning activities,Strongly agree
6fffc57d03,"In general, I think this is a good course",Strongly agree
6fffc57d03,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
00f124a00c,I think I learned a lot from this course,Agree
00f124a00c,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
00f124a00c,I think the content on the website clearly communicated the concepts,Strongly agree
00f124a00c,I think the instructors clearly communicated the concepts,Strongly agree
00f124a00c,I think there was good alignment between the learning activities,Strongly agree
00f124a00c,"In general, I think this is a good course",Agree
00f124a00c,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
