id,survey_item,response
67438b8b31,I think I learned a lot from this course,Agree
67438b8b31,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
67438b8b31,I think the content on the website clearly communicated the concepts,Strongly agree
67438b8b31,I think the instructors clearly communicated the concepts,Strongly agree
67438b8b31,I think there was good alignment between the learning activities,Strongly agree
67438b8b31,"In general, I think this is a good course",Strongly agree
67438b8b31,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
c4004df6d7,I think I learned a lot from this course,Strongly agree
c4004df6d7,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
c4004df6d7,I think the content on the website clearly communicated the concepts,Strongly agree
c4004df6d7,I think the instructors clearly communicated the concepts,Strongly agree
c4004df6d7,I think there was good alignment between the learning activities,Strongly agree
c4004df6d7,"In general, I think this is a good course",Strongly agree
c4004df6d7,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
852bc60117,I think I learned a lot from this course,Strongly agree
852bc60117,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
852bc60117,I think the content on the website clearly communicated the concepts,Strongly agree
852bc60117,I think the instructors clearly communicated the concepts,Strongly agree
852bc60117,I think there was good alignment between the learning activities,Strongly agree
852bc60117,"In general, I think this is a good course",Strongly agree
852bc60117,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Strongly agree
8db7b32459,I think I learned a lot from this course,Strongly agree
8db7b32459,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
8db7b32459,I think the content on the website clearly communicated the concepts,Strongly agree
8db7b32459,I think the instructors clearly communicated the concepts,Strongly agree
8db7b32459,I think there was good alignment between the learning activities,Strongly agree
8db7b32459,"In general, I think this is a good course",Strongly agree
8db7b32459,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
90606d4609,I think I learned a lot from this course,Strongly agree
90606d4609,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
90606d4609,I think the content on the website clearly communicated the concepts,Strongly agree
90606d4609,I think the instructors clearly communicated the concepts,Strongly agree
90606d4609,I think there was good alignment between the learning activities,Strongly agree
90606d4609,"In general, I think this is a good course",Strongly agree
90606d4609,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
236d8f1316,I think I learned a lot from this course,Strongly agree
236d8f1316,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
236d8f1316,I think the content on the website clearly communicated the concepts,Strongly agree
236d8f1316,I think the instructors clearly communicated the concepts,Agree
236d8f1316,I think there was good alignment between the learning activities,Strongly agree
236d8f1316,"In general, I think this is a good course",Strongly agree
236d8f1316,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
9de3b833f4,I think I learned a lot from this course,Strongly agree
9de3b833f4,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
9de3b833f4,I think the content on the website clearly communicated the concepts,Agree
9de3b833f4,I think the instructors clearly communicated the concepts,Strongly agree
9de3b833f4,I think there was good alignment between the learning activities,Strongly agree
9de3b833f4,"In general, I think this is a good course",Strongly agree
9de3b833f4,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
b438750a07,I think I learned a lot from this course,Strongly agree
b438750a07,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
b438750a07,I think the content on the website clearly communicated the concepts,Strongly agree
b438750a07,I think the instructors clearly communicated the concepts,Strongly agree
b438750a07,I think there was good alignment between the learning activities,Strongly agree
b438750a07,"In general, I think this is a good course",Strongly agree
b438750a07,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
c985cb4ea9,I think I learned a lot from this course,Agree
