Questions,Responses,Count
What city do you work in or near?,Aarhus,2
What city do you work in or near?,Copenhagen,17
What city do you work in or near?,Gentofte,3
What city do you work in or near?,Glostrup,1
What city do you work in or near?,Malmö,1
What city do you work in or near?,Odense,11
How do you perceive your skill/knowledge of data analysis in general?,1,9
How do you perceive your skill/knowledge of data analysis in general?,2,4
How do you perceive your skill/knowledge of data analysis in general?,3,13
How do you perceive your skill/knowledge of data analysis in general?,4,7
How do you perceive your skill/knowledge of data analysis in general?,5,2
How do you perceive your skill/knowledge of version control (e.g. Git) in general?,1,35
How do you perceive your skill/knowledge of programming in general?,1,21
How do you perceive your skill/knowledge of programming in general?,2,6
How do you perceive your skill/knowledge of programming in general?,3,6
How do you perceive your skill/knowledge of programming in general?,4,1
How do you perceive your skill/knowledge of programming in general?,5,1
How do you perceive your skill/knowledge of [using R?],1,22
How do you perceive your skill/knowledge of [using R?],2,11
How do you perceive your skill/knowledge of [using R?],3,2
What programs have you previously used for data analysis?,Graph Pad Prism,1
What programs have you previously used for data analysis?,graphpad prism,1
What programs have you previously used for data analysis?,"GraphPad Prism, Excel",1
What programs have you previously used for data analysis?,"Mainly Stata, little SAS and  R",1
What programs have you previously used for data analysis?,"mostly stata, but also sas",1
What programs have you previously used for data analysis?,no,1
What programs have you previously used for data analysis?,None,1
What programs have you previously used for data analysis?,"Perl, R",1
What programs have you previously used for data analysis?,Prism,1
What programs have you previously used for data analysis?,"Prism, SIGMA plot",1
What programs have you previously used for data analysis?,R,1
What programs have you previously used for data analysis?,R and GraphPad Prism.,1
What programs have you previously used for data analysis?,R studio-less than beginning,1
What programs have you previously used for data analysis?,SAS,2
What programs have you previously used for data analysis?,"SAS, Matlab, GraphPad, Excel",1
What programs have you previously used for data analysis?,"SAS, Stata",1
What programs have you previously used for data analysis?,sigma Plot,1
What programs have you previously used for data analysis?,"Sigmaplot, graphpad",1
What programs have you previously used for data analysis?,"SigmaPlot, R",1
What programs have you previously used for data analysis?,spss,1
What programs have you previously used for data analysis?,SPSS,1
What programs have you previously used for data analysis?,"SPSS, ecxel",1
What programs have you previously used for data analysis?,"SPSS, Prism, Python coding",1
What programs have you previously used for data analysis?,"SPSS, R (very little)",1
What programs have you previously used for data analysis?,"spss, stata",1
What programs have you previously used for data analysis?,Stata,3
What programs have you previously used for data analysis?,Stata and R,1
What programs have you previously used for data analysis?,"Stata, SAS",1
What programs have you previously used for data analysis?,"Stata, SAS (years ago), SPSS (very long time ago)",1
What programs have you previously used for data analysis?,"STATA, SAS, EXCEL, GRAPHPAD",1
What programs have you previously used for data analysis?,"Stata, SigmaPlot, Prism",1
What programs have you previously used for data analysis?,"Stata, SPSS, MLwin",1
What is your formal position?,Analyst,1
What is your formal position?,PhD student,12
What is your formal position?,Post doc,1
What is your formal position?,Postdoc,19
What is your formal position?,Researcher,1
What is your formal position?,Senior researcher,1
